,Experience Years,Salary
0,1.1,39343
1,1.2,42774
2,1.3,46205
3,1.5,37731
4,2.0,43525
5,2.2,39891
6,2.5,48266
7,2.9,56642
8,3.0,60150
9,3.2,54445
10,3.2,64445
11,3.5,60000
12,3.7,57189
13,3.8,60200
14,3.9,63218
15,4.0,55794
16,4.0,56957
17,4.1,57081
18,4.3,59095
19,4.5,61111
20,4.7,64500
21,4.9,67938
22,5.1,66029
23,5.3,83088
24,5.5,82200
25,5.9,81363
26,6.0,93940
27,6.2,91000
28,6.5,90000
29,6.8,91738
30,7.1,98273
31,7.9,101302
32,8.2,113812
33,8.5,111620
34,8.7,109431
35,9.0,105582
36,9.5,116969
37,9.6,112635
38,10.3,122391
39,10.5,121872
